epoch,train_loss,train_acc,val_loss,val_acc
1,0.8780943264423962,0.5352112676056338,167.8369903564453,0.7142857142857143
2,0.6926549228144364,0.5774647887323944,127.21015167236328,0.7142857142857143
3,0.6400171358820418,0.6901408450704225,47.736751556396484,0.7142857142857143
4,0.6023941300284694,0.704225352112676,9.60148811340332,0.7142857142857143
5,0.5749503902986016,0.7464788732394366,6.439167022705078,0.7142857142857143
6,0.5872057894585838,0.7183098591549296,5.875577449798584,0.7142857142857143
7,0.5688291527855565,0.7464788732394366,5.134011268615723,0.7142857142857143
8,0.5272989449366717,0.704225352112676,9.619659423828125,0.7142857142857143
9,0.4751252515215269,0.7605633802816901,10.512495040893555,0.7142857142857143
10,0.4339720241620507,0.8169014084507042,3.135242462158203,0.7142857142857143
