epoch,train_loss,train_acc,val_loss,val_acc
1,0.8249152404630286,0.6623931623931624,27.301550261828364,0.7346938775510204
2,0.5287533504331213,0.7692307692307693,51.06326200524155,0.7346938775510204
3,0.3838814588693472,0.8461538461538461,13.480603432168765,0.7346938775510204
4,0.30297012283251834,0.8717948717948718,3.456627909018069,0.7346938775510204
5,0.27665996860362524,0.8675213675213675,0.9903811276415173,0.7755102040816326
6,0.3165597431680076,0.8717948717948718,3.7760054724557057,0.7346938775510204
7,0.25651040622311777,0.8846153846153846,0.44127389111993265,0.9183673469387755
8,0.25811529541626954,0.8760683760683761,0.49157690522926195,0.8979591836734694
9,0.2995861256733919,0.9017094017094017,0.8858335908806446,0.7959183673469388
10,0.33401707222319055,0.8803418803418803,2.4065883464841598,0.46938775510204084
