epoch,train_loss,train_acc,val_loss,val_acc
1,0.713032297675033,0.7221269296740995,2.266977273648785,0.5241935483870968
2,0.45469872354438745,0.7924528301886793,0.4803253614133404,0.6935483870967742
3,0.42432196686239226,0.8456260720411664,0.7448834738423747,0.532258064516129
4,0.3837827003942755,0.8370497427101201,0.6157393294476694,0.75
5,0.539277669598267,0.7787307032590052,0.45664100685427267,0.7903225806451613
6,0.43105482625715935,0.8250428816466552,0.4518680957055861,0.8387096774193549
7,0.44479875263996027,0.8284734133790738,0.49391298140248946,0.8145161290322581
8,0.4033479121087141,0.8387650085763293,0.4512481362588944,0.7903225806451613
9,0.4261013289360812,0.8027444253859348,0.7073076742310678,0.7096774193548387
10,0.39527463912963867,0.8387650085763293,0.4480341230669329,0.8064516129032258
11,0.4355193695523113,0.8147512864493996,0.374439001083374,0.8709677419354839
12,0.36725905777864143,0.8439108061749572,1.2082822954943102,0.3790322580645161
13,0.37737938536787935,0.8473413379073756,0.3770662373112094,0.7741935483870968
14,0.40028766313916003,0.8370497427101201,0.4906478351162326,0.7983870967741935
15,0.3379355380710975,0.8627787307032591,0.43034496422736873,0.7903225806451613
16,0.38426320150008947,0.8507718696397941,0.33375769949728445,0.8467741935483871
17,0.3928737774312394,0.8524871355060034,0.3922215113716741,0.8387096774193549
18,0.37893433293797346,0.8524871355060034,0.2871727030123434,0.8870967741935484
19,0.36852139858193506,0.8507718696397941,0.5343379955137929,0.8387096774193549
20,0.3596786045905452,0.8644939965694682,0.3518419640679513,0.7983870967741935
21,0.3250603134748662,0.8833619210977701,0.28633728815663245,0.8790322580645161
22,0.36573927427800196,0.8507718696397941,0.3126537999318492,0.8467741935483871
23,0.3233385253729583,0.8765008576329331,0.5738856032971413,0.6532258064516129
24,0.3401810906405719,0.8593481989708405,0.46158031782796305,0.8790322580645161
25,0.3319379434781868,0.8662092624356775,1.1777838482972114,0.5967741935483871
26,0.3377195647047069,0.8662092624356775,0.4233624387171961,0.7741935483870968
27,0.3559848648299484,0.8490566037735849,0.3393937147432758,0.8145161290322581
28,0.3408205892577588,0.8679245283018868,0.4778549075126648,0.782258064516129
